id,key,value,type
27607387,created_by,shp2osm,regular
27607389,source,PGS,regular
27607390,source,PGS,regular
27607391,source,PGS,regular
27607393,source,PGS,regular
27607394,source,PGS,regular
27607394,created_by,shp2osm,regular
27607396,source,PGS,regular
27607397,source,PGS,regular
27607398,source,PGS,regular
27607398,created_by,shp2osm,regular
27607399,source,PGS,regular
27607404,source,PGS,regular
27607405,source,PGS,regular
27607406,source,PGS,regular
27607408,source,PGS,regular
27607408,created_by,shp2osm,regular
27607410,source,PGS,regular
27607412,source,PGS,regular
27607413,source,PGS,regular
27607413,created_by,shp2osm,regular
27607414,source,PGS,regular
27607415,source,PGS,regular
27607415,created_by,shp2osm,regular
27607416,source,PGS,regular
27607416,created_by,shp2osm,regular
27607417,source,PGS,regular
27607420,source,PGS,regular
27607422,source,PGS,regular
27607424,source,PGS,regular
27607425,source,PGS,regular
27607427,source,PGS,regular
27607427,created_by,shp2osm,regular
27607428,source,PGS,regular
27607429,source,PGS,regular
27607430,source,PGS,regular
27607432,source,PGS,regular
27607433,source,PGS,regular
27607434,source,PGS,regular
27607434,created_by,shp2osm,regular
27607435,source,PGS,regular
27607436,source,PGS,regular
27607437,source,PGS,regular
27607438,source,PGS,regular
27607439,source,PGS,regular
27607441,source,PGS,regular
27607444,source,PGS,regular
27607448,source,PGS,regular
27607448,created_by,shp2osm,regular
27607449,source,PGS,regular
27607450,source,PGS,regular
27607451,source,PGS,regular
27607451,created_by,shp2osm,regular
27607452,source,PGS,regular
27607455,source,PGS,regular
27607456,source,PGS,regular
27607457,source,PGS,regular
27607459,source,PGS,regular
27607459,created_by,shp2osm,regular
27607460,source,PGS,regular
27607461,source,PGS,regular
27607462,source,PGS,regular
27607464,source,PGS,regular
27607464,created_by,shp2osm,regular
27607467,source,PGS,regular
27607469,source,PGS,regular
27607471,source,PGS,regular
27607471,created_by,shp2osm,regular
27607472,source,PGS,regular
27607473,source,PGS,regular
27607476,source,PGS,regular
27607477,source,PGS,regular
27607480,source,PGS,regular
27607480,created_by,shp2osm,regular
27607482,source,PGS,regular
27607483,source,PGS,regular
27607485,source,PGS,regular
27607486,source,PGS,regular
27607487,source,PGS,regular
27607488,source,PGS,regular
27607489,source,PGS,regular
27607489,created_by,shp2osm,regular
27607490,source,PGS,regular
27607491,source,PGS,regular
27607493,source,PGS,regular
27607494,source,PGS,regular
27607495,source,PGS,regular
27607496,source,PGS,regular
27607498,source,PGS,regular
27607498,created_by,shp2osm,regular
27607499,source,PGS,regular
27607500,source,PGS,regular
27607500,created_by,shp2osm,regular
27607501,source,PGS,regular
27607504,source,PGS,regular
27607506,source,PGS,regular
27607507,source,PGS,regular
27607509,source,PGS,regular
27607510,source,PGS,regular
27607510,created_by,shp2osm,regular
27607512,source,PGS,regular
27607512,created_by,shp2osm,regular
27607513,source,PGS,regular
27607513,created_by,shp2osm,regular
27607514,source,PGS,regular
27607516,source,PGS,regular
27607518,source,PGS,regular
27607518,created_by,shp2osm,regular
27607522,source,PGS,regular
27607522,created_by,shp2osm,regular
27607523,source,PGS,regular
27607523,created_by,shp2osm,regular
27607524,source,PGS,regular
27607525,source,PGS,regular
27607528,source,PGS,regular
27607528,created_by,shp2osm,regular
27607529,source,PGS,regular
27607529,created_by,shp2osm,regular
27607531,source,PGS,regular
27607531,created_by,shp2osm,regular
27607532,source,PGS,regular
27607532,created_by,shp2osm,regular
27607533,source,PGS,regular
27607535,source,PGS,regular
27607535,created_by,shp2osm,regular
27607536,source,PGS,regular
27607537,source,PGS,regular
27607538,source,PGS,regular
27607538,created_by,shp2osm,regular
27607539,source,PGS,regular
27607539,created_by,shp2osm,regular
27607540,source,PGS,regular
27607541,source,PGS,regular
27607542,source,PGS,regular
27607543,source,PGS,regular
27607545,source,PGS,regular
27607548,source,PGS,regular
27607549,source,PGS,regular
27607555,source,PGS,regular
27607556,source,PGS,regular
27607557,source,PGS,regular
27607558,source,PGS,regular
27607558,created_by,shp2osm,regular
27607559,source,PGS,regular
27607561,source,PGS,regular
27607562,source,PGS,regular
27607564,source,PGS,regular
27607565,source,PGS,regular
27607567,source,PGS,regular
27607567,created_by,shp2osm,regular
27607568,source,PGS,regular
27607568,created_by,shp2osm,regular
27607575,source,PGS,regular
27607576,source,PGS,regular
27607579,source,PGS,regular
27607580,source,PGS,regular
27607580,created_by,shp2osm,regular
27607581,source,PGS,regular
27607582,source,PGS,regular
27607583,source,PGS,regular
27607587,source,PGS,regular
27607587,created_by,shp2osm,regular
27607588,source,PGS,regular
27607588,created_by,shp2osm,regular
27607595,source,PGS,regular
27607596,source,PGS,regular
